Date,Food,Number of Units
2022-10-26,banana,1
2022-10-26,bread,1
2022-10-26,butter,1
2022-10-26,peas,1
2022-10-26,corn,0.25
2022-10-26,apple,0.5
2022-10-26,waffle,1
2022-10-26,apple,1
2022-10-26,egg,1
2022-10-26,tomato,0.5
2022-10-26,cheese,0.25
2022-10-26,mayo,0.5
2022-10-26,tortilla,1
2022-10-26,ellie salad,1
2022-10-26,toffee,1
2022-10-26,peanuts,1
2022-10-26,chocolate chips,1
2022-10-26,beer,1
2022-10-27,fruit smoothie,1
2022-10-27,bread,1
2022-10-27,butter,1
2022-10-27,1k-meal,1
2022-10-27,toffee,1
2022-10-27,ellie salad,1
2022-10-27,toffee,1
2022-10-27,beer,1
2022-10-27,wine,1
2022-10-28,fruit smoothie,0.5
2022-10-28,tortilla,1
2022-10-28,mayo,0.5
2022-10-28,cheese,0.25
2022-10-28,egg,1
2022-10-28,egg,1
2022-10-28,peas,0.5
2022-10-28,corn,0.5
2022-10-28,olive oil,1
2022-10-28,broccolini,1
2022-10-28,toffee,1
2022-10-28,beer,2
2022-10-28,1k-meal,1
2022-10-29,pancake,1
2022-10-29,syrup,1
2022-10-29,apple,0.5
2022-10-29,peas,0.5
2022-10-29,corn,0.5
2022-10-29,olive oil,1
2022-10-29,tortilla,1
2022-10-29,mayo,1
2022-10-29,cheese,0.25
2022-10-29,toffee,1
2022-10-29,peanut butter cup,2
2022-10-29,baby bell cheese,2
2022-10-29,bread,1
2022-10-29,mayo,1
2022-10-29,cheese,1
2022-10-29,tomato,1
2022-10-29,beer,1
2022-10-29,wine,2
2022-10-29,whiskey,1
2022-10-29,chocolate covered caramels,0.5
2022-10-30,apple,0.5
2022-10-30,pancake,1
2022-10-30,syrup,1
2022-10-30,egg,1
2022-10-30,cheese,0.5
2022-10-30,peanut butter cup,1
2022-10-30,bread,1
2022-10-30,cheese,1
2022-10-30,salami,6
2022-10-30,mayo,1
2022-10-30,tomato,1
2022-10-30,peas,1
2022-10-30,corn,0.5
2022-10-30,peanut butter cup,5
2022-10-30,pizza,4
2022-10-30,beer,4
2022-10-31,banana,1
2022-10-31,bread,1
2022-10-31,butter,1
2022-10-31,baby bell cheese,2
2022-10-31,tomato,1
2022-10-31,peas,1
2022-10-31,corn,0.25
2022-10-31,peanut butter cup,4
2022-10-31,ellie salad,1
2022-10-31,fruit smoothie,1
2022-10-31,portobello mushroom,1
2022-10-31,butter,2
2022-10-31,cauliflower,1
